acc. date,type,reg.,operator,fat.,location
04-Apr-04,Antonov An-26B,UN-26582,Irbis,0,120 km from Kyzyl
04-Apr-04,Antonov An-32B,EP-837,Ejército del Perú,0,Puerto Esperanza Airport
07-Apr-04,Raytheon 390 Premier I,N200PR,Unknown,0,Blackbushe Airport (BBS)
10-Apr-04,McDonnell Douglas DC-10-30,N14075,World Airways,0,"Atlantic Ocean, Atlantic Ocean"
10-Apr-04,Boeing 737-3Q8,N662SW,Southwest Airlines,0,"St. Louis, MO"
13-Apr-04,IRMA/Britten-Norman BN-2A-27 Islander,V3-HGK,Maya Island Air,0,"6,5 km from Belize City"
14-Apr-04,Beechcraft 300 Super King Air,N301KS,Mass Bay Kustom Leasing,0,"Daytona Beach, FL"
14-Apr-04,Boeing 737-7H4,N448WN,Southwest Airlines,0,"Beach Haven, NJ"
16-Apr-04,Beechcraft B200 King Air,F-OHJL,Air Archipels,0,Papeete-Faaa Airport (PPT)
17-Apr-04,Airbus,,Qatar Airways,0,Cairo International Airport (CAI)
18-Apr-04,Learjet 55,N355UJ,Bombardier Capital Corporation,0,La Romana Airport (LRM)
19-Apr-04,Beechcraft A100 King Air,C-FMAI,Myrand Aviation,0,"Chibougamau/Chapais Airport, QC (YMT)"
20-Apr-04,McDonnell Douglas DC-9-82 (MD-82),I-DAWR,Alitalia,0,Trieste-Dei Legionari Airport (TRS)
27-Apr-04,Boeing 737-529,UR-VVB,AeroSvit Airlines,0,Moskva-Sheremetyevo Airport (SVO)
27-Apr-04,Fokker F-27 Friendship 500,N715FE,"FedEx Express, opb Mountain Air Cargo",0,Melo Airport (MLZ)
27-Apr-04,Cessna 208B Super Cargomaster,N738FX,"Baron Aviation Services, opf FedEx",0,"19 km NE of Helena, AR"
28-Apr-04,McDonnell Douglas DC-10-30F,N189AX,"Centurion Air Cargo, lst Líneas Aéreas Suramericanas",0,Bogotá-Eldorado Airport (BOG)
29-Apr-04,Lockheed C-130 Hercules,,Air National Guard,0,"Minneapolis-St Paul International Airport, MN (MSP)"
02-May-04,Yakovlev Yak-40,YV-1070CP,CIACA Airlines,,
04-May-04,Cessna 208B Grand Caravan,YV-O-CBL-7,Gobernación del Estado Bolívar,7,Chimanta Mountains
05-May-04,IRMA/Pilatus Britten-Norman BN-2B-27 Islander,XC-FOE,Consejo de Recursos Minerales,2,40 km NE of Vallecillos
05-May-04,Fairchild SA227-AC Metro III,HK-4275X,Aerotransporte Petrolero,5,Carepa-Antonio Roldán Betancourt Airport (SKLC)
06-May-04,Transall C-160R,R-100/61-ZR,L'Armée de L'Air,0,Fort de France-Lamentin Air Base (FDF)
06-May-04,Let L-410UVP,9XR-EF,Kush Air,6,"Jiech, Jonglei State"
07-May-04,Douglas C-54B,N44911,Brooks Air Fuel,0,"McGrath, Alaska"
08-May-04,Douglas C-54P (DC-4),N44911,Brooks Air Fuel,0,"Ganes Creek, AK"
09-May-04,ATR 72-212,N438AT,"American Eagle Airlines, opb Executive Airlines",0,San Juan-Luis Munoz Marin International Airport (SJU)
11-May-04,Antonov An-12BP,ST-SIG,El Magal Aviation,7,near Tatal
14-May-04,Cessna 208B Grand Caravan,ZS-SCO,Mission Aviation Fellowship (MAF),0,Phinda Aerodrome near Richards Bay
14-May-04,Embraer EMB-120ER Brasilia,PT-WRO,Rico Linhas Aéreas,33,"33 km from Manaus, AM"
16-May-04,Cessna 208B,N9820F,PenAir - Peninsula Airways,0,"Egegik, Alaska"
17-May-04,de Havilland Canada DHC-6 Twin Otter 300,8Q-TMC,Trans Maldivian Airways,0,Male International Airport (MLE)
18-May-04,Antonov An-2P,UN-70276,Araiavia,1,Bozoy
18-May-04,Ilyushin Il-76TD,4K-AZ27,"Azal Cargo, lsf Silk Way Airlines",7,10 km from Urumqi Airport (URC)
23-May-04,Let L-410UVP-E9,5Y-VVA,Blue Bird Aviation,0,30 km S of Mwingi
23-May-04,Let L-410UVP-E3,5Y-VVD,Blue Bird Aviation,2,30 km S of Mwingi
25-May-04,de Havilland Canada DHC-6 Twin Otter 300,9N-AFD,Yeti Airlines,3,W of Lukla
26-May-04,McDonnell Douglas MD-82,N573AA,American Airlines,0,"Near St. Louis, MO"
27-May-04,Raytheon 390 Premier I,N5010X,Raytheon Aircraft,0,"Las Vegas-North Air Terminal, NV (VGT)"
28-May-04,Cessna 208B Grand Caravan,5H-AXL,Air Excel,0,"Loiborsoit Village, Simanjiro District"
29-May-04,British Aerospace BAe-146-300,G-BPNT,Flightline,0,Florence-Peretola Airport (FLR)
01-Jun-04,Antonov An-32,9XR-SN,Sun Air Charter,0,Kigali International Airport (KGL)
03-Jun-04,Antonov An-2TP,UR-07194,Atlant,0,"near Genichesk, Kherson region"
04-Jun-04,Boeing 737-7H4,N757LV,Southwest Airlines,0,"Liberal, KS"
06-Jun-04,Beechcraft Beechjet 400A,AP-BEX,Punjab Government,0,Lahore-Allama Iqbal International Airport (LHE/OPLA)
07-Jun-04,Antonov An-26B,ST-ARO,Ababeel Aviation,0,Geneina Airport (EGN)
08-Jun-04,Hawker Siddeley HS-748-232 Srs. 2A,TR-LFW,Gabon Express,19,off Libreville Airport (LBV)
13-Jun-04,Beechcraft 200 Super King Air,N200BE,Rader Aviation,2,"Rupert, WV"
14-Jun-04,Volpar Turboliner,N401CK,Bellair,1,"10 km E of Kodiak Airport, AK (ADQ)"
15-Jun-04,de Havilland Canada DHC-3 Otter,C-GPPL,Hawk Air,0,"Dipneedle Lake, ON"
16-Jun-04,Fokker F-27 Friendship 200,AP-AUR,Pakistan International Airlines - PIA,0,Chitral Airport (CJL)
20-Jun-04,Douglas DC-3-455,HK-1212,VIARCO,0,Las Gaviotas Airport (LGT)
23-Jun-04,Dornier 228-201,TF-ELH,Islandsflug,0,Siglufjördur Airport (SIJ)
26-Jun-04,Antonov An-12BP,ST-SAT,Sarit Airlines,0,Wau Airport (WUU)
26-Jun-04,Lisunov Li-2T,RA-1300K,FLA RF,4,"2,2 km ENE of Moskva-Myachkovo Airport"
28-Jun-04,Beechcraft 200 Super King Air,ZS-NRW,Ngangeni Air Charters,2,São Sebastião
28-Jun-04,Boeing 777-212ER,9V-SRC,Singapore Airlines Limited,0,Near Waypoint ARESI (L625)
28-Jun-04,Boeing 747-481,JA8098,All Nippon Airways - ANA,0,Near Arkhangelsk
30-Jun-04,Beechcraft 200 Super King Air,N432FA,Frontline Aviation,0,"Green Bay-Austin-Straubel Field, WI (GRB)"
30-Jun-04,de Havilland Canada DHC-6 Twin Otter 300,8P-MLK,Trans Island Air 2000,0,Saint Vincent-E. T. Joshua (SVD)
02-Jul-04,IAI 1124 Westwind,N280AT,Air Trek,6+1,Panama City-Tocumen International Airport (PTY)
04-Jul-04,de Havilland Canada DHC-6 Twin Otter 300,C-FMOL,North-Wright Airways,0,"Canol Road, Mile 222, NT"
09-Jul-04,Canadair CL-215-1A10,I-SRMB,"OMNI - Aviação e Tecnologia, lsf SOREM",0,"Chamadouro, Santa Domba Dão"
09-Jul-04,Antonov An-2SX,RA-02230,Kostroma Air Enterprise,0,Yaroslavl Airport (IAR)
12-Jul-04,Beechcraft 400A Beechjet,N455CW,Flight Options,0,"100 miles west of Sarasota, FL"
12-Jul-04,Beechcraft 100 King Air,C-FQOV,Little Red Air Service,0,"Fort Vermilion Airport, AB"
12-Jul-04,Convair CV-440,N4826C,Dodita Air Cargo,1,"54 km S off Beef Island, British Virgin Islands [Caribbean Sea]"
13-Jul-04,Learjet 35A,N829CA,Aviation Jet Charters,0,Nevis-Newcastle Airport (NEV)
15-Jul-04,McDonnell Douglas MD-82,N585AA,American Airlines,0,"Sheridan, IL"
16-Jul-04,Boeing 767-3G5ER,EI-CXO,Blue Panorama Airlines,0,Roma-Fiumicino Airport (FCO/LIRF)
16-Jul-04,Antonov An-28,YL-KAB,Rigas Aeroklubs,0,Østre Æra Airport
17-Jul-04,Airbus A319-132,N812AW,America West Airlines,0,"Flat Rock, VA"
19-Jul-04,Learjet 55,N55LF,Hop-A-Jet Inc,0,"Fort Lauderdale-Executive Airport, FL (FXE)"
21-Jul-04,McDonnell Douglas DC-9-14,XA-BCS,Aero California,0,Mexico City-Juarez International Airport (MEX)
21-Jul-04,Bombardier CRJ-100ER,N995CA,Comair,0,"Snow Hill, VA"
23-Jul-04,Basler BT-67 Turbo 67 (DC-3T),FAS117,Fuerza Aérea Salvadoreña,0,El Jaguey
24-Jul-04,Beechcraft B300 King Air 350,YV-910CP,Wyngs Aviation,0,near Punto Fijo
25-Jul-04,Boeing 777-223ER,N797AN,American Airlines,0,"Miami, FL"
25-Jul-04,Fokker 100,TC-IEC,Inter Airlines,0,Istanbul-Atatürk Airport (IST)
26-Jul-04,Boeing 737,,Air China,0,Zhengzhou Airport (CGO)
28-Jul-04,Rockwell Sabreliner 60,XC-PFN,Policía Federal,0,Mexicali Airport (MXL)
29-Jul-04,Antonov An-28,ES-ELI,Flying Air Service,,Beni Mavivi
29-Jul-04,de Havilland Canada DHC-6 Twin Otter 300,P2-MBA,Airlines PNG,2,near Ononge
30-Jul-04,Shijiazhuang Y-5,,People's Liberation Army - Air Force - PLAAF,5,"Fengning Manchu Autonomous County, Chengde, Hebei Province"
03-Aug-04,Boeing 757-28A,G-FCLE,Thomas Cook Airlines,0,Corfu Airport (LGKR)
04-Aug-04,Cessna 208B,N1037N,Superior Aviation,0,"Big Rapids, Michigan"
05-Aug-04,CASA C-212-A27 Aviocar 200,ARBV-0206,Armada de Venezuela,0,San Carlos de Río Negro Airport
07-Aug-04,Boeing 767-3P6ER,CP-2425,Lloyd Aéreo Boliviano - LAB,0,Santa Cruz-Viru Viru International Airport (VVI)
08-Aug-04,ATR 72-201,HS-TRA,Thai Airways International,0,Mae Hong Son airport
10-Aug-04,Grumman HU-16A Albatross,XB-JHH,Unknown,1,Playa de la Ventanilla
11-Aug-04,Boeing 737-205 Advanced,3X-GCM,Air Guinee Express,0,Freetown-Lungi International Airport (FNA)
11-Aug-04,Airbus A330-323,HL7720,Korean Airlines,0,Gwangju
13-Aug-04,Douglas DC-3C,N130D,Florida Air Cargo,0,"Punta Gorda-Charlotte County Airport, FL (PGD)"
13-Aug-04,Douglas DC-3,N22RB,Private,0,"Orlando-Herndon Airport, FL (ORL)"
13-Aug-04,Convair CV-580,N586P,Air Tahoma,1,"1 km S of Cincinnati/Northern Kentucky Airport, KY (CVG)"
16-Aug-04,Cessna 208B Grand Caravan,HP-1397APP,AeroPerlas,0,ca. 9 km W of Panama-Albrook Marcos A. Gelabert Airport (BLB)
17-Aug-04,Beechcraft 99 Airliner,N199GL,Alpine Aviation,2,"11 km NE of Neihart, MT"
18-Aug-04,Cessna 208B Grand Caravan,5Y-TWH,Transworld Safaris,3,16 km N of Goma
21-Aug-04,Antonov An-2TP,D-FONE,Sachsische Luftfahrt Service,0,Dinslaken-Schwarze Heide
21-Aug-04,Shorts 360-300,FAV-1652,Fuerza Aérea Venezolana - FAV,30,25 km from Maracay
24-Aug-04,Tupolev Tu-154B-2,RA-85556,Sibir Airlines,46,8 km from Gluboki
24-Aug-04,Tupolev Tu-134A-3,RA-65080,Volga-Aviaexpress,44,near Buchalki
25-Aug-04,Cessna 550 Citation II,N792MA,Grafair,0,"Venice Airport, FL (VNC)"
27-Aug-04,de Havilland Canada DHC-3 Otter,N197TT,Mavrik Aire,1,"56 km W of McGrath, AK"
27-Aug-04,Lockheed C-130 Hercules,,Libyan Arab Repubic Air Force,0,Khartoum-Civil Airport (KRT)
28-Aug-04,Sud Aviation SE-210 Caravelle 11R,3D-KIK,Trans Air Congo,0,Gisenyi Airport (GYI)
29-Aug-04,Embraer EMB-135KL,N810AE,American Eagle Airlines,0,"Clyde, NY"
30-Aug-04,Boeing 727-2M7,N742RW,Custom Air Transport Inc,0,"El Paso, Texas"
31-Aug-04,Boeing 747-446(D),JA8083,Japan Airlines (JAL),0,over Hanamaki City
04-Sep-04,Learjet 25B,N47MR,"American Jets, Inc.",0,"Colorado Springs Municipal Airport, CO (COS)"
05-Sep-04,Antonov An-12B,UR-11765,Antonov Design Bureau,0,Kiev-Borispol Airport (KBP)
06-Sep-04,Beechcraft 1900D,5N-PTL,Wings Aviation,0,Eket airstrip
09-Sep-04,North American CT-39A Sabreliner,XA-TFD,Jett Paqueteria,2,3 km from Villahermosa
10-Sep-04,Fairchild SA227-AC Metro III,ZS-OLS,Ryan Blake Air Charter,0,George Airport (GRJ)
11-Sep-04,Lockheed C-130H Hercules,,United States Air Force - USAF,0,
13-Sep-04,Boeing 737-3H4,N601WN,Southwest Airlines,0,"Los Angeles, CA"
14-Sep-04,Ilyushin Il-76TD,4K-AZ31,Silk Way Airlines,0,near Baku Airport (BAK)
16-Sep-04,Antonov An-24RV,EW-47808,Kam Air,0,Kabul Airport (KBL)
19-Sep-04,McDonnell Douglas MD-11F,N601FE,FedEx Express,0,"Memphis, Tennessee"
21-Sep-04,Swearingen SA227-AC Metro III,C-FIPW,Norcanair,0,"La Ronge Airport, SK (YVC)"
23-Sep-04,Britten-Norman BN-2A Islander,N6522T,Homer Air,0,"Hallo Bay, AK"
23-Sep-04,Cessna 208B Super Cargomaster,N7392B,Eagle Air Cargo,0,"2 km S of Gwinner-Roger Melroe Field Airport, ND (GWR)"
23-Sep-04,McDonnell Douglas MD-90-30,JA002D,Japan Air System,0,80 km S of Kouchi
25-Sep-04,Bushmaster 2000,N750RW,R.R. Fuchs,0,"near Fullerton Municipal Airport, CA (FUL)"
28-Sep-04,Lockheed C-130H Hercules,84-0211,United States Air Force - USAF,0,"Wilmington-New Castle Airport, DE (ILG)"
29-Sep-04,Cessna 208B Super Cargomaster,N276PM,Planemasters,0,"Decatur, Illinois"
29-Sep-04,Boeing 767-232,N109DL,Delta Air Lines,0,130 miles north of Aruba [Caribbean Sea]
29-Sep-04,Dornier 228-212,LN-BER,Kato Air,0,Bodø Airport (BOO)
29-Sep-04,IRMA/Pilatus Britten-Norman BN-2A-27 Islander,N902GD,Air Flamenco,1,ca 1 km N off Vega Baja
30-Sep-04,de Havilland Canada DHC-3 Otter,C-FODV,Wilderness Air,0,"Long Lake, ON"
01-Oct-04,Embraer EMB-110P1 Bandeirante,ZS-OWO,Naturelink Airlines,0,Douala Airport (DLA)
03-Oct-04,Howard 250,N6371C,American Airpower Heritage Museum,0,"Midland International Airport, TX (MAF)"
05-Oct-04,Antonov An-12,ST-SAF,Sarit Airlines,4,68 km from Heglig
08-Oct-04,Fokker F-28 Fellowship 4000,S2-ACH,Biman Bangladesh Airlines,0,Sylhet-Osmani International Airport (ZYL)
09-Oct-04,Let L-410UVP,9XR-KL,El Amiron Plus Corp.,0,
11-Oct-04,Let L-410UVP,9XR-RC,Sierra Leone Airways,0,280 km SW of Kindu
14-Oct-04,Canadair CL-600-2B19 Regional Jet CRJ-200LR,N8396A,"Northwest Airlink, lsf Pinnacle Airlines",2,"Jefferson City, MO"
14-Oct-04,Boeing 747-244B (SF),9G-MKJ,MK Airlines,7,"Halifax International Airport, NS (YHZ)"
15-Oct-04,Douglas DC-3C,HK-1503,Aerovanguardia,3,13 km E of Medellín-Enrique Olaya Herrera Airport (EOH)
16-Oct-04,Britten-Norman BN-2A-21 Islander,RP-C1325,Pacific Airways,2,9 km NE of Coron
17-Oct-04,Beechcraft 99A,N955AA,Alpine Air Express,0,"Billings, Montana"
18-Oct-04,Airbus A320-232,B-22310,TransAsia Airways,0,Taipei-Songshan Airport (TSA)
19-Oct-04,CASA C-212 Aviocar 100,T.12B-54,Ejército del Aire,0,Lanzarote Airport (ACE)
19-Oct-04,Antonov An-12BP,ST-SAD,Sarit Airlines,0,Heglig
19-Oct-04,British Aerospace 3201 Jetstream 32EP,N875JX,"AmericanConnection, lsf Corporate Airlines",13,"2,2 km S of Kirksville Regional Airport, MO (IRK)"
20-Oct-04,Boeing 747-132 (SF),N709CK,Kalitta Air,0,"over Lake Michigan, MI"
22-Oct-04,Reims Cessna F406 Caravan II,G-TWIG,Highland Airways,1,60 km NW of Inverness
22-Oct-04,Beechcraft 1900C,N79YV,Southern Air Charter,0,"0,1 km S off New Providence Island"
23-Oct-04,Boeing 707-330C,PP-BSE,BETA - Brazilian Express Transportes Aéreos,0,"Manaus-Eduardo Gomes International Airport, AM (MAO)"
24-Oct-04,Beechcraft 200 Super King Air,N501RH,"Hendrick Motorsports, Inc",10,"near Stuart, VA"
24-Oct-04,Learjet 35A,N30DK,Med Flight Air Ambulance,5,"13 km E of San Diego-Brown Field Municipal Airport, CA (SDM)"
25-Oct-04,Saab 340B,N376AE,American Eagle Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)"
27-Oct-04,Canadair CRJ-200LR,N592ML,"US Airways Express, opb Mesa Airlines",0,"Philadelphia, Pennsylvania"
04-Nov-04,Boeing 737-3T0,9M-AAP,AirAsia,0,Kota Kinabalu Airport (BKI/WBKK)
04-Nov-04,Cessna 208B Grand Caravan,G-BZAH,Army Parachute Association,0,Netheravon Airport
04-Nov-04,Rockwell Sabreliner 60,XA-GUR,Servicios Aéreos Jemsa,0,Toluca Airport (TLC)
07-Nov-04,Boeing 747-230F (SCD),TF-ARR,"Lufthansa Cargo, lsf Air Atlanta Icelandic",0,Sharjah Airport (SHJ)
13-Nov-04,Saab 340B,N305CE,"ATA Connection, opb Chicago Express Airlines",0,"Milwaukee-General Mitchell Airport, WI (MKE/KMKE)"
15-Nov-04,Yakovlev Yak-40,YV-1100CP,private,0,Caracas-La Carlota Airport
16-Nov-04,Let L-410UVP-E20,5H-PAC,Precision Air,0,Kilimanjaro Airport (JRO)
18-Nov-04,British Aerospace 3101 Jetstream 31,YV-1083C,RAVSA - Rutas Aéreas de Venezuela SA,2,Caracas-Simon Bolivar Airport (CCS)
19-Nov-04,Beechcraft 99,N1049C,Ameriflight,0,"Phoenix, Arizona"
19-Nov-04,Beechcraft 200 Super King Air,YV-2584P,Unknown,0,Cabimas-Oro Negro Airport (CBS)
19-Nov-04,de Havilland Canada DHC-6 Twin Otter 300,HB-LOK,Zimex Aviation,0,Menzel Lejmat North
19-Nov-04,Airbus A340-642,EC-IZX,Iberia,0,Lisbon Airport
20-Nov-04,IAI Arava 201,3D-DAC,Umbutfo Swaziland Defence Force Air Wing,0,within South-Eastern Eswatini
21-Nov-04,Canadair CL-600-2B19 Regional Jet CRJ-200LR,B-3072,China Yunnan Airlines,53+2,near Baotou Airport (BAV)
22-Nov-04,Hawker Siddeley HS-748-208 Srs. 2A,L5-2/16,Royal Thai Air Force - RTAF,0,Bangkok International Airport (BKK)
22-Nov-04,Gulfstream Aerospace G-1159A Gulfstream III,N85VT,Business Jet Services,3,"5 km SW of Houston-William P. Hobby Airport, TX (HOU)"
25-Nov-04,Reims Cessna F406 Caravan II,5H-RAS,Regional Air Services,0,Arusha Airport (ARK)
27-Nov-04,CASA C-212 Aviocar 200,N960BW,"U.S. Department of Defense, lsf Presidential Airways",6,148 km W of Bagram
28-Nov-04,Boeing 737-406,PH-BTC,KLM Royal Dutch Airlines,0,Barcelona Airport (BCN)
28-Nov-04,Canadair CL-600-2A12 Challenger 601,N873G,"Global Aviation, lsf Hop-A-Jet Inc",3,"Montrose County Airport, CO (MTJ)"
29-Nov-04,Embraer EMB-135BJ,N995CW,Flight Options,0,"Cleveland Hopkins International Airport, OH (CLE)"
29-Nov-04,Gulfstream Aerospace G-IV,N420QS,"Nji, Inc.",0,"Eagle, Colorado"
30-Nov-04,MBB HFB-320 Hansa Jet,N604GA,Grand Aire Express,2,"Howell Island, MO"
30-Nov-04,McDonnell Douglas DC-9-82 (MD-82),PK-LMN,Lion Air,25,Solo City-Adi Sumarmo Airport (SOC)
01-Dec-04,Beechcraft B300 Super King Air 350,C-FMHD,Aviation CMP Inc.,0,"St-Georges de Beauce, Quebec"
01-Dec-04,Gulfstream G-IV,G-GMAC,GAMA Aviation,0,"Teterboro Airport, NJ (TEB)"
04-Dec-04,Convair CV-580F SCD,N161FL,Contract Air Cargo,0,"McAllen-Miller International Airport, TX (MFE)"
04-Dec-04,Convair CV-340-70,N41626,Miami Air Lease,0,"North Miami Beach, FL"
05-Dec-04,Dassault Falcon 20,N82TN,Inland Paperboard And Packaging Inc,0,"Pine Bluff, Arkansas"
05-Dec-04,Avro RJ100,SX-DVF,Aegean Airlines,0,50nm SW of LSV VOR on G8 airway
06-Dec-04,Gulfstream G-IV,N478GS,Centurion Aviation Services,0,Bucharest Baneasa Aurel Vlaicu International Airport (BBU)
06-Dec-04,Cessna 208B Grand Caravan,N25SA,Salmon Air,2,"11 km S of Bellevue, ID"
09-Dec-04,Beechcraft B200 Super King Air,N6PE,RNH Air 1 LLC,0,"6,5 km N of Tulsa International Airport, OK (TUL)"
09-Dec-04,Boeing 727-2M7F,N750DH,ASTAR Air Cargo,0,"Atlanta-William B. Hartsfield International Airport, GA (ATL)"
10-Dec-04,Beechcraft 200 Super King Air,N648KA,Charter One,0,"Bay View-Rancho Buena Vista Airport, TX"
10-Dec-04,PZL-Mielec M28 Skytruck,GN-97121,Guardia Nacional Bolivariana de Venezuela - GNBV,16,24 km from El Junquito
11-Dec-04,Ilyushin Il-76TD,ER-IBW,Airline Transport,1,near Jeddah
11-Dec-04,Embraer EMB-110 Bandeirante,PT-WAK,NHR Táxi-Aéreo,2+1,"0,8 km from Uberaba Airport, MG (UBA)"
16-Dec-04,Shorts 360-300,N748CC,Air Cargo Carriers,0,"Oshawa Municipal Airport, ON (YOO)"
17-Dec-04,Douglas C-47A-5-DK (DC-3),HK-2663,Aerolineas Llaneras - Arall,0,Puerto Gaitán
18-Dec-04,Beechcraft 400A Beechjet,N417CW,"Flight Options, LLC",0,"Cleveland, Ohio"
20-Dec-04,Mcdonnell Douglas MD-82,N402A,American Airlines,0,"Providence-Theodore Francis Greene State Airport, RI (PVD/KPVD)"
20-Dec-04,Learjet 25B,N252BK,Barkin International Aviation,0,"Cedar Rapids Airport, IA (CID)"
22-Dec-04,ATR 72-202,D-ANFF,Eurowings,0,Frankfurt International Airport (FRA/EDDF)
24-Dec-04,Beechcraft A100 King Air,C-GAIK,Air Inuit,0,"Kuujjuaq Airport, QC (YVP)"
29-Dec-04,Lockheed MC-130H Combat Talon II,85-0012,United States Air Force - USAF,0,Qayyarah Airfield West
29-Dec-04,Bombardier CRJ-701ER,N506MJ,Mesa Airlines,0,"Austin, TX"
30-Dec-04,Ilyushin Il-76TD,ER-IBM,Airline Transport,0,Kabul Airport (KBL)
04-Jan-03,Cessna 525 CitationJet,PT-XJS,JS Táxi Aéreo,0,"São Paulo-Congonhas Airport, SP (CGH)"
06-Jan-03,Embraer EMB-145LR (ERJ-145LR),N16571,"Continental Express, opb ExpressJet Airlines",0,"Cleveland-Hopkins International Airport, OH (CLE)"
07-Jan-03,Raytheon 390 Premier I,N390RB,Caribbean Aviation,0,Santo Domingo-Herrera Airport (HEX)
08-Jan-03,de Havilland Canada DHC-8-401Q Dash 8,N409QX,Horizon Air,0,"near Medford, OR"
08-Jan-03,Avro RJ100,TC-THG,THY Turkish Airlines,75,"0,9 km S of Diyarbakir Airport (DIY)"
08-Jan-03,Beechcraft 1900D,N233YV,"US Airways Express, opb Air Midwest",21,"Charlotte-Douglas International Airport, NC (CLT)"
09-Jan-03,Fokker F-28 Fellowship 4000,PK-PJK,Pelita Air Service,0,Gorontalo-Jalaluddin Airport (GTO)
09-Jan-03,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FITF,Harbour Air,0,"Eden Lake, BC"
09-Jan-03,Fokker F-28 Fellowship 1000,OB-1396,Transportes Aéreos Nacionales de la Selva - TANS,46,near Chachapoyas
14-Jan-03,Britten-Norman BN-2A-26 Islander,HS-RON,Siam Air Sports,0,"1,5 km from Pattaya Airport (PYX)"
15-Jan-03,Dassault Falcon 900,N11WM,Pistol Creek Financial Co.,0,west of HERZO intersection
17-Jan-03,British Aerospace 3101 Jetstream 31,CP-2404,Servicio Aéreo Vargas España - SAVE,0,Yacuiba Airport (BYC)
17-Jan-03,Antonov An-24B,ER-AFT,"Aerocom, lsf Tiramavia",7,near Ndjolé
17-Jan-03,Fokker F-28 Fellowship 4000,HC-BMD,TAME Ecuador,0,Quito-Mariscal Sucre Airport (UIO)
17-Jan-03,Fokker 50,PH-FZE,"Air Nostrum, lsf Denim Air",0,Melilla Airport (MLN)
17-Jan-03,Beechcraft 1900C,C-GSKG,Skylink Express,0,"St. John's Airport, NL (YYT/CYYT)"
18-Jan-03,Embraer EMB-135LR (ERJ-135LR),N714BZ,American Eagle Airlines,0,"Columbus-Port Columbus International Airport, OH (CMH)"
19-Jan-03,Boeing 737-8D6,,Air Algérie,0,Algiers-Houari Boumediene Airport (ALG)
19-Jan-03,Boeing 757-251,N550NW,Northwest Airlines,0,"New York-La Guardia Airport, NY (LGA)"
19-Jan-03,Airbus A319-114,N313NB,Northwest Airlines,0,"New York-La Guardia Airport, NY (LGA)"
20-Jan-03,British Aerospace Jetstream 32EP,LV-ZST,Aerovip,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE)"
21-Jan-03,de Havilland Canada DHC-6 Twin Otter 200,N206EH,ERA Aviation,0,"Kipnuk Airport, AK (KPN)"
23-Jan-03,Boeing 737-2B7,PK-ALV,Star Air,0,Jakarta-Soekarno-Hatta International Airport (CGK)
24-Jan-03,Cessna 208B Super Cargomaster,N944FE,"Baron Aviation Services, opf FedEx",0,"San Angelo-Ducote Airpark, TX"
24-Jan-03,Embraer EMB-145LR (ERJ-145LR),B-3043,Sichuan Airlines,0,near Chengdu
24-Jan-03,Grumman G-159 Gulfstream I,5Y-EMJ,African Commuter Services,3,Busia
26-Jan-03,Boeing 737-2M9,PP-SPJ,VASP - Viação Aérea São Paulo,0,"Rio Branco-Plácido de Castro International Airport, AC (RBR)"
27-Jan-03,Cessna 550 Citation Bravo,CS-DHB,Net Jets Transportes Aereos,0,Aberdeen-Dyce Airport (ABZ)
29-Jan-03,Beechcraft B99 Airliner,C-GHVI,Bearskin Airlines,0,"3,5 km from Pikangikum, ON"
30-Jan-03,Cessna 208B Grand Caravan,N1276P,Grant Aviation,0,"Russian Mission, Alaska"
31-Jan-03,Ilyushin Il-76TD,RDPL-34141,Euro Asia Aviation,6,2 km NNW of Baucau-Cakung Airport (BCH)
01-Feb-03,Boeing 737-4Q8,N764AS,Alaska Airlines,0,"Vancouver International Airport, BC (YVR)"
02-Feb-03,Boeing 757-2Z0,,Air China,0,Fuzhou Changle International Airport (FOC)
07-Feb-03,Airbus A310-304,TC-JDA,THY Turkish Airlines,0,Istanbul-Atatürk Airport (IST)
08-Feb-03,ATR 72-212,N448AM,American Eagle Airlines,0,"San Juan, PR"
10-Feb-03,Antonov An-28,ES-NOY,Enimex,2,Tallinn-Ulemiste Airport (TLL)
13-Feb-03,Cessna 208B Grand Caravan,N1116G,One Leasing,0,near El Para
14-Feb-03,Britten-Norman BN-2A-21 Islander,B-03/OT-ALC,Belgische Luchtmacht,0,Brasschaat Air Base
19-Feb-03,Dornier 228-201,AP-BGF,STAR Aviation,0,Karachi-Quaid-E-Azam International Airport (KHI)
19-Feb-03,Ilyushin Il-76MD,15-2280,Iranian Revolutionary Guard Corps Air Force - IRGCAF,275,35 km SE from Kerman
20-Feb-03,Fokker F-27 Friendship 200,10254,Pakistan Air Force,17,32 km E of Kohat
25-Feb-03,Boeing 777-223,N790AN,American Airlines,0,"Miami International Airport, FL (MIA/KMIA)"
27-Feb-03,Fokker F-27 Friendship 500,ZK-NAN,"Airwork, NZ",0,Blenheim Woodbourne Air Station (BHE)
27-Feb-03,Aérospatiale / BAC Concorde 101,F-BVFA,Air France,0,over Atlantic Ocean
01-Mar-03,Let L-410UVP,FLARF-01032,Borki Air Club,11,2 km from Borki
