acc. date,type,reg.,operator,fat.,location
01-Jan-23,Boeing 737 MAX 8,C-FLRS,Flair Airlines,0,"Kitchener-Region of Waterloo International Airport, ON (YKF/CYKF)"
02-Jan-23,Bombardier CRJ-900LR,N928XJ,"Delta Connection, opb Endeavor Air",0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)"
02-Jan-23,Airbus A330-202,EI-EJM,ITA Airways,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)"
02-Jan-23,Boeing 737-8K2 (WL),PH-HXJ,Transavia Airlines,0,Rotterdam/The Hague Airport (RTM/EHRD)
02-Jan-23,Embraer EMB-505 Phenom 300,N555NR,Eagle Jet 300 LLC,1,"Provo Airport, UT (PVU)"
03-Jan-23,Boeing 767-300F,N496MM,"Amerijet International, lst Maersk Air Cargo",0,near Seoul-Incheon International Airport (ICN/RKSI)
07-Jan-23,Airbus A320-232 (WL),JA14JJ,JetStar Japan,0,Nagoya/Chubu Centrair International Airport (NGO/RJGG)
07-Jan-23,Boeing 737-846 (WL),JA307J,Japan Airlines (JAL),0,E of Miyazaki
09-Jan-23,Antonov An-2R,RA-71165,Naryan-Mar Air Enterprise,2,10 km SW of Karatayka
11-Jan-23,Antonov An-2R,RA-17789,Stavropol City Aviation Sports Club,0,"near Novomaryevskaya, Stavropol Region"
13-Jan-23,Cessna 550 Citation II,YV2166,Air Master AP,0,Charallave-Óscar Machado Zuloaga Airport (SVCS)
15-Jan-23,ATR 72-500 (72-212A),9N-ANC,Yeti Airlines,72,2 km WNW of Pokhara International Airport (VNPR)
